Correspondence & Contracts
address,adresse
carbon copy,envoyer en copie
cover letter,lettre de motivation
duplicate,copie
field,champ
header,En-tête
miscellaneous,divers
pen pal,correspondant
provider,fournisseur
recipient,destinataire
resume,CV
ruler,règle
sender,expéditeur
agreement,accord
to bar,exclure
binding,qui lie
claim,revendication
cover,assurer
grant,accorder
guaranty,garantie
incur,contracter
party,partie
real estate,immobilier
settlement,accord
tenant,locataire
terminate,résilier
